# FWHM = 0.26803368, 31648, 33715
# pos	int		env
-2.8075202	0.16575621		0.16575621
-2.8075361	0.16568227		0.16575621
-2.8075223	0.1649183		0.16575621
-2.8075233	0.16567406		0.16575621
-2.8074956	0.16548511		0.16575621
-2.8075254	0.16519761		0.16575621
-2.807568	0.16529618		0.16575621
-2.8075547	0.16541119		0.16575621
-2.8075552	0.1651401		0.16575621
-2.807529	0.16498402		0.16575621
-2.8075035	0.16486901		0.16575621
-2.8074918	0.1649101		0.16575621
-2.80748	0.16529618		0.16575621
-2.807469	0.16533725		0.16575621
-2.807483	0.16589585		0.16589585
-2.8074348	0.16634767		0.16634767
-2.8074245	0.16570692		0.16634767
-2.8074145	0.16563298		0.16634767
-2.8074045	0.1660848		0.16634767
-2.807407	0.16601086		0.16634767
-2.8073974	0.16560835		0.16634767
-2.8074343	0.16546048		0.16634767
-2.807402	0.16527154		0.16634767
-2.8073926	0.16515653		0.16634767
-2.8073614	0.16523868		0.16634767
-2.807375	0.1645815		0.16634767
-2.8073993	0.16470473		0.16634767
-2.8073473	0.16550976		0.16634767
-2.8073606	0.16525511		0.16634767
-2.807363	0.16444185		0.16634767
-2.807397	0.16512367		0.16634767
-2.8074093	0.16555905		0.16634767
-2.8074522	0.16555905		0.16634767
-2.8074536	0.16638874		0.16638874
-2.8074148	0.16584657		0.16638874
-2.8073967	0.16568227		0.16638874
-2.8073592	0.16570692		0.16638874
-2.8073418	0.16561656		0.16638874
-2.8073733	0.16550155		0.16638874
-2.8073945	0.16627373		0.16638874
-2.8074155	0.16611765		0.16638874
-2.8073983	0.16618337		0.16638874
-2.807372	0.16645445		0.16645445
-2.8073742	0.16629016		0.16645445
-2.8073761	0.16629837		0.16645445
-2.8073418	0.16573977		0.16645445
-2.8073351	0.16570692		0.16645445
-2.8073196	0.16513188		0.16645445
-2.8073132	0.16589585		0.16645445
-2.8073068	0.16568227		0.16645445
-2.807318	0.1654769		0.16645445
-2.8072429	0.1660273		0.16645445
-2.807246	0.16598621		0.16645445
-2.807274	0.16581371		0.16645445
-2.8072937	0.16566584		0.16645445
-2.8073127	0.16596158		0.16645445
-2.8072984	0.16564941		0.16645445
-2.8073173	0.16573977		0.16645445
-2.8073359	0.16559191		0.16645445
-2.807362	0.16583014		0.16645445
-2.80734	0.16593693		0.16645445
-2.807326	0.16582192		0.16645445
-2.807344	0.16644624		0.16645445
-2.807338	0.16639695		0.16645445
-2.8073323	0.16591229		0.16645445
-2.8073418	0.16559191		0.16645445
-2.807336	0.16537833		0.16645445
-2.8073897	0.16596979		0.16645445
-2.807405	0.16554262		0.16645445
-2.8074203	0.16517296		0.16645445
-2.807428	0.1654687		0.16645445
-2.8074431	0.16616695		0.16645445
-2.8074508	0.16669267		0.16669267
-2.8074813	0.16578084		0.16669267
-2.8074737	0.16587943		0.16669267
-2.8074431	0.16593693		0.16669267
-2.807428	0.16582192		0.16669267
-2.807428	0.16554262		0.16669267
-2.807382	0.16540298		0.16669267
-2.807359	0.16524689		0.16669267
-2.807359	0.16563298		0.16669267
-2.807336	0.16567406		0.16669267
-2.807336	0.16570692		0.16669267
-2.8073514	0.16557547		0.16669267
-2.8073285	0.16580549		0.16669267
-2.8073514	0.1659287		0.16669267
-2.807336	0.16566584		0.16669267
-2.8072827	0.16560012		0.16669267
-2.8072827	0.16567406		0.16669267
-2.807275	0.16580549		0.16669267
-2.8072598	0.16550155		0.16669267
-2.8072522	0.16562477		0.16669267
-2.8072522	0.16600265		0.16669267
-2.8072903	0.16599444		0.16669267
-2.8073132	0.1659287		0.16669267
-2.8073285	0.16586299		0.16669267
-2.8072827	0.1659287		0.16669267
-2.8072445	0.166093		0.16669267
-2.8072522	0.1659205		0.16669267
-2.8072522	0.16563298		0.16669267
-2.8072445	0.16587943		0.16669267
-2.8072064	0.16578907		0.16669267
-2.807214	0.1655344		0.16669267
-2.8071911	0.16607657		0.16669267
-2.8071299	0.16604371		0.16669267
-2.8071299	0.16559191		0.16669267
-2.8070765	0.16543584		0.16669267
-2.8071375	0.16571513		0.16669267
-2.8071527	0.16515653		0.16669267
-2.8071527	0.16551797		0.16669267
-2.8071299	0.16520582		0.16669267
-2.8071146	0.16555905		0.16669267
-2.807107	0.1655344		0.16669267
-2.807145	0.16510725		0.16669267
-2.8071222	0.1655837		0.16669267
-2.8071375	0.16564941		0.16669267
-2.807084	0.1655837		0.16669267
-2.807084	0.1653619		0.16669267
-2.8070765	0.16544405		0.16669267
-2.8070612	0.16596979		0.16669267
-2.807023	0.16577263		0.16669267
-2.8069925	0.1660848		0.16669267
-2.8070002	0.16670911		0.16670911
-2.8070307	0.16627373		0.16670911
-2.8070307	0.1660355		0.16670911
-2.8070383	0.1660273		0.16670911
-2.8070154	0.16598621		0.16670911
-2.806985	0.16622443		0.16670911
-2.806962	0.16590407		0.16670911
-2.8069313	0.16509081		0.16670911
-2.806939	0.16541119		0.16670911
-2.8069541	0.1654194		0.16670911
-2.806916	0.16420363		0.16670911
-2.8068855	0.16537833		0.16670911
-2.8068397	0.16589585		0.16670911
-2.8068473	0.1654687		0.16670911
-2.806794	0.16578084		0.16670911
-2.8068397	0.16569048		0.16670911
-2.8068473	0.16555905		0.16670911
-2.806832	0.16555905		0.16670911
-2.8068626	0.16577263		0.16670911
-2.8068702	0.16564941		0.16670911
-2.806893	0.16518939		0.16670911
-2.8068779	0.16541119		0.16670911
-2.8068855	0.1655344		0.16670911
-2.8068779	0.16613407		0.16670911
-2.8068779	0.16634767		0.16670911
-2.8068855	0.16569048		0.16670911
-2.8069084	0.16615872		0.16670911
-2.8069236	0.16655304		0.16670911
-2.8069465	0.16596979		0.16670911
-2.8069465	0.16634767		0.16670911
-2.8069541	0.16611765		0.16670911
-2.8069465	0.1660355		0.16670911
-2.8069084	0.16624087		0.16670911
-2.8069007	0.1666434		0.16670911
-2.8069007	0.16623266		0.16670911
-2.806893	0.16622443		0.16670911
-2.8068626	0.16588764		0.16670911
-2.8068626	0.1655837		0.16670911
