# FWHM = 0.0013139962, 31750, 33833
# pos	int		env
-2.7932677	0.16615114		0.16615114
-2.7932992	0.16554719		0.16615114
-2.7932708	0.16516359		0.16615114
-2.7932868	0.16629805		0.16629805
-2.7932594	0.16649392		0.16649392
-2.793261	0.1665184		0.1665184
-2.7932487	0.16640414		0.1665184
-2.793264	0.16583283		0.1665184
-2.7932384	0.16601239		0.1665184
-2.793267	0.16602871		0.1665184
-2.793255	0.16553903		0.1665184
-2.7932827	0.16554719		0.1665184
-2.793271	0.16515544		0.1665184
-2.7932215	0.16515544		0.1665184
-2.7931857	0.16547373		0.1665184
-2.7932253	0.16606136		0.1665184
-2.7932148	0.1661348		0.1665184
-2.7933133	0.16579203		0.1665184
-2.793314	0.16522072		0.1665184
-2.7932794	0.16509831		0.1665184
-2.7932687	0.16522889		0.1665184
-2.7932699	0.16511463		0.1665184
-2.7932255	0.16498405		0.1665184
-2.7931933	0.1653105		0.1665184
-2.7931728	0.16558799		0.1665184
-2.793153	0.16563696		0.1665184
-2.793188	0.16616745		0.1665184
-2.7932227	0.16640414		0.1665184
-2.7932026	0.16605319		0.1665184
-2.7931833	0.1661593		0.1665184
-2.7931957	0.16549006		0.1665184
-2.7931976	0.16496772		0.1665184
-2.7931583	0.1649514		0.1665184
-2.7931604	0.16568594		0.1665184
-2.7931223	0.16624907		0.1665184
-2.793125	0.16615114		0.1665184
-2.793137	0.1661348		0.1665184
-2.793159	0.16648576		0.1665184
-2.79319	0.16579203		0.1665184
-2.793163	0.16597974		0.1665184
-2.793165	0.16597974		0.1665184
-2.7931857	0.16515544		0.1665184
-2.7931874	0.16498405		0.1665184
-2.793152	0.16535132		0.1665184
-2.7931542	0.16534315		0.1665184
-2.7931652	0.16482082		0.1665184
-2.7931132	0.16489427		0.1665184
-2.7931154	0.1657757		0.1665184
-2.793109	0.1657757		0.1665184
-2.7930675	0.16561247		0.1665184
-2.7930787	0.16530234		0.1665184
-2.7930725	0.16513096		0.1665184
-2.7931006	0.1653105		0.1665184
-2.79312	0.16504118		0.1665184
-2.7931304	0.16556351		0.1665184
-2.7931406	0.1662001		0.1665184
-2.7931426	0.16603687		0.1665184
-2.79312	0.16628172		0.1665184
-2.7931383	0.16627355		0.1665184
-2.793148	0.1663062		0.1665184
-2.79315	0.16673876		0.16673876
-2.79312	0.16697544		0.16697544
-2.7931218	0.16687751		0.16697544
-2.793116	0.16629805		0.16697544
-2.7931101	0.16620827		0.16697544
-2.7931044	0.16612665		0.16697544
-2.7930913	0.16578387		0.16697544
-2.7930913	0.165841		0.16697544
-2.7930913	0.16583283		0.16697544
-2.7931218	0.16547373		0.16697544
-2.793038	0.16579203		0.16697544
-2.7929842	0.16575122		0.16697544
