# FWHM = 0.0033901087, 31423, 33500
# pos	int		env
-2.7812138	0.16597578		0.16597578
-2.7811985	0.16494152		0.16597578
-2.7811835	0.16636159		0.16636159
-2.781227	0.16572133		0.16636159
-2.781255	0.16518778		0.16636159
-2.7812965	0.16555715		0.16636159
-2.7812672	0.16605787		0.16636159
-2.781266	0.16629592		0.16636159
-2.7813056	0.1660825		0.16636159
-2.781304	0.16587728		0.16636159
-2.7813022	0.16566387		0.16636159
-2.7813008	0.16587728		0.16636159
-2.7813635	0.16611533		0.16636159
-2.7813613	0.1648348		0.16636159
-2.7813716	0.16574594		0.16636159
-2.7813694	0.16572952		0.16636159
-2.781355	0.16504002		0.16636159
-2.7813892	0.16568848		0.16636159
-2.7814584	0.16513032		0.16636159
-2.7814553	0.1644408		0.16636159
-2.7814522	0.1660907		0.16636159
-2.7814145	0.166181		0.16636159
-2.781446	0.16547507		0.16636159
-2.7814996	0.16681305		0.16681305
-2.7815073	0.16710855		0.16710855
-2.7815368	0.16688693		0.16710855
-2.781566	0.16767494		0.16767494
-2.781551	0.1675436		0.16767494
-2.7815044	0.1664765		0.16767494
-2.7815115	0.16621383		0.16767494
-2.7815187	0.16592653		0.16767494
-2.7815154	0.16531089		0.16767494
-2.7814913	0.16605787		0.16767494
-2.7814984	0.16577879		0.16767494
-2.7814753	0.16621383		0.16767494
-2.7814624	0.16680485		0.16767494
-2.7814105	0.1665668		0.16767494
-2.781379	0.16565566		0.16767494
-2.781377	0.16613996		0.16767494
-2.7813656	0.16606608		0.16767494
-2.781345	0.16499077		0.16767494
-2.7813623	0.16545044		0.16767494
-2.7813792	0.16554895		0.16767494
-2.7814145	0.16562282		0.16767494
-2.7814124	0.16609891		0.16767494
-2.7814102	0.16558178		0.16767494
-2.7814353	0.16517136		0.16767494
-2.781451	0.1658855		0.16767494
-2.781475	0.16613996		0.16767494
-2.7814724	0.16556536		0.16767494
-2.7814615	0.16625488		0.16767494
-2.781442	0.16622204		0.16767494
-2.7814653	0.16587728		0.16767494
-2.781463	0.16623846		0.16767494
