# FWHM = 0.0063728704, 31602, 33678
# pos	int		env
-2.798529	0.16548984		0.16548984
-2.7985277	0.16632536		0.16632536
-2.798512	0.16604686		0.16632536
-2.7985547	0.16586664		0.16632536
-2.798539	0.16598952		0.16632536
-2.7985237	0.16579293		0.16632536
-2.7985644	0.16565368		0.16632536
-2.7985904	0.16606323		0.16632536
-2.7985885	0.16576836		0.16632536
-2.7985868	0.16541612		0.16632536
-2.7985983	0.16580111		0.16632536
-2.7986095	0.16592398		0.16632536
-2.7986073	0.1648673		0.16632536
-2.7986436	0.165539		0.16632536
-2.7986662	0.16559634		0.16632536
-2.798639	0.16470347		0.16632536
-2.798649	0.16493283		0.16632536
-2.7986467	0.16569462		0.16632536
-2.7986562	0.16536698		0.16632536
-2.7986777	0.1658175		0.16632536
-2.7986517	0.16606323		0.16632536
-2.7986493	0.16549803		0.16632536
-2.7986586	0.16580111		0.16632536
-2.7986562	0.16485912		0.16632536
-2.7986765	0.16453145		0.16632536
-2.798685	0.16501474		0.16632536
-2.7986934	0.16570282		0.16632536
-2.79868	0.1648673		0.16632536
-2.7986562	0.16567005		0.16632536
-2.7986648	0.16561271		0.16632536
-2.7986417	0.16533421		0.16632536
-2.7986293	0.16572739		0.16632536
-2.7986584	0.16576016		0.16632536
-2.7986462	0.16521953		0.16632536
-2.7986443	0.16589122		0.16632536
-2.7986622	0.16597313		0.16632536
-2.79867	0.16551441		0.16632536
-2.798707	0.16577654		0.16632536
-2.798695	0.16577654		0.16632536
-2.7987118	0.16539975		0.16632536
-2.7986906	0.16625164		0.16632536
-2.7986977	0.16594037		0.16632536
-2.7986767	0.16521953		0.16632536
-2.7986748	0.16511305		0.16632536
-2.798691	0.16490006		0.16632536
-2.798707	0.16460517		0.16632536
-2.7986958	0.16602229		0.16632536
-2.798667	0.16562909		0.16632536
-2.7986562	0.16555537		0.16632536
-2.7986546	0.166096		0.16632536
-2.7986703	0.16585845		0.16632536
-2.7986598	0.16509666		0.16632536
-2.7986665	0.16555537		0.16632536
-2.7986479	0.16570282		0.16632536
-2.7986462	0.16532601		0.16632536
-2.7986364	0.16597313		0.16632536
-2.7986019	0.16542432		0.16632536
-2.7986333	0.1651458		0.16632536
-2.798632	0.16583388		0.16632536
-2.7986386	0.16595675		0.16632536
-2.798629	0.16565368		0.16632536
-2.7986197	0.16632536		0.16632536
-2.7986186	0.16579293		0.16632536
-2.7986171	0.1652359		0.16632536
-2.7986548	0.16556357		0.16632536
-2.7986379	0.16591579		0.16632536
-2.7986212	0.16599771		0.16632536
-2.7986212	0.16613697		0.16632536
-2.7986135	0.1660878		0.16632536
-2.7985983	0.16585027		0.16632536
-2.7985678	0.16606323		0.16632536
-2.7985983	0.1663909		0.1663909
-2.7985983	0.16533421		0.1663909
-2.7985907	0.166481		0.166481
-2.7986135	0.16607963		0.166481
-2.7986135	0.16517857		0.166481
-2.7985907	0.1658175		0.166481
-2.7985373	0.16594037		0.166481
-2.798522	0.16585845		0.166481
-2.7984912	0.16607143		0.166481
-2.7985065	0.16580111		0.166481
-2.798545	0.16565368		0.166481
-2.7985525	0.16635813		0.166481
-2.7985754	0.16648918		0.16648918
-2.7985907	0.16603866		0.16648918
-2.798606	0.1670462		0.1670462
-2.798644	0.16678408		0.1670462
-2.7986517	0.16642366		0.1670462
-2.7986593	0.16671854		0.1670462
-2.798644	0.166096		0.1670462
-2.7986746	0.16589941		0.1670462
-2.798705	0.166653		0.1670462
-2.7986898	0.16681685		0.1670462
-2.798667	0.16601409		0.1670462
-2.7986593	0.16640727		0.1670462
-2.7986135	0.16635813		0.1670462
-2.7985983	0.16583388		0.1670462
-2.798606	0.16594037		0.1670462
-2.7986822	0.1667595		0.1670462
-2.7986822	0.16625983		0.1670462
-2.798705	0.166481		0.1670462
-2.7986975	0.16634993		0.1670462
-2.798705	0.16576016		0.1670462
-2.798705	0.16622706		0.1670462
-2.7986975	0.16634993		0.1670462
-2.7986822	0.16558814		0.1670462
-2.7986746	0.16606323		0.1670462
-2.7986746	0.1665711		0.1670462
-2.798667	0.16647281		0.1670462
-2.7986593	0.1666612		0.1670462
-2.7986822	0.16578473		0.1670462
-2.798667	0.16561271		0.1670462
-2.7986593	0.16599771		0.1670462
-2.7986364	0.16599771		0.1670462
-2.798606	0.16558814		0.1670462
-2.7985907	0.16569462		0.1670462
-2.7985754	0.16597313		0.1670462
-2.7985754	0.16578473		0.1670462
-2.7985678	0.16580111		0.1670462
-2.7985601	0.16654652		0.1670462
-2.798522	0.16598952		0.1670462
-2.798522	0.166653		0.1670462
-2.798522	0.16639908		0.1670462
-2.7985296	0.1663827		0.1670462
-2.7985525	0.1666776		0.1670462
-2.7985678	0.16599771		0.1670462
-2.7985601	0.16510485		0.1670462
-2.7985678	0.16562091		0.1670462
-2.798583	0.16577654		0.1670462
-2.798583	0.16517857		0.1670462
-2.7985754	0.16626802		0.1670462
-2.7985754	0.16595675		0.1670462
-2.798583	0.16512942		0.1670462
-2.7986135	0.16652195		0.1670462
-2.7986288	0.16646461		0.1670462
-2.7986593	0.16587484		0.1670462
-2.7986364	0.1663745		0.1670462
-2.7986288	0.16588303		0.1670462
-2.798644	0.16530964		0.1670462
-2.7986288	0.16583388		0.1670462
-2.798644	0.16576016		0.1670462
-2.798644	0.16537516		0.1670462
-2.7986288	0.16570282		0.1670462
-2.798644	0.1662844		0.1670462
-2.7986212	0.1658093		0.1670462
-2.7985907	0.16672674		0.1670462
-2.7985296	0.1659076		0.1670462
-2.7984912	0.16533421		0.1670462
-2.798476	0.16542432		0.1670462
-2.7984607	0.1652523		0.1670462
-2.7984455	0.16521133		0.1670462
-2.7984378	0.16537516		0.1670462
-2.7984378	0.16516219		0.1670462
-2.7984607	0.16480178		0.1670462
-2.7984684	0.16535059		0.1670462
-2.7984378	0.16516219		0.1670462
-2.7984073	0.16503112		0.1670462
-2.798392	0.16510485		0.1670462
-2.7983844	0.16549803		0.1670462
-2.7983692	0.16530144		0.1670462
-2.7983844	0.16589122		0.1670462
-2.798392	0.16529325		0.1670462
-2.798354	0.1646871		0.1670462
-2.7983463	0.165539		0.1670462
-2.7983463	0.16555537		0.1670462
-2.7982926	0.1655308		0.1670462
-2.7983003	0.16559634		0.1670462
-2.798285	0.16595675		0.1670462
-2.7983003	0.16585845		0.1670462
-2.7982926	0.16584207		0.1670462
-2.7982774	0.16570282		0.1670462
-2.7982545	0.16569462		0.1670462
-2.7982392	0.16564548		0.1670462
-2.7982545	0.16598952		0.1670462
-2.7982392	0.16559634		0.1670462
-2.7982469	0.16577654		0.1670462
-2.7982697	0.16570282		0.1670462
-2.7982545	0.16529325		0.1670462
-2.7982163	0.16568643		0.1670462
-2.7982316	0.16559634		0.1670462
-2.7982774	0.16533421		0.1670462
-2.7982926	0.16522773		0.1670462
-2.798331	0.16512123		0.1670462
-2.798308	0.1655308		0.1670462
-2.798308	0.1663909		0.1670462
-2.7983387	0.16594855		0.1670462
-2.7983615	0.16657929		0.1670462
-2.7983768	0.16664483		0.1670462
-2.7983692	0.16598952		0.1670462
-2.798392	0.16533421		0.1670462
-2.7983387	0.16536698		0.1670462
-2.7983158	0.16561271		0.1670462
-2.7983158	0.16591579		0.1670462
-2.7983387	0.16611238		0.1670462
-2.798331	0.16567005		0.1670462
-2.7983387	0.16522773		0.1670462
-2.798331	0.16540793		0.1670462
-2.798285	0.16497378		0.1670462
-2.798308	0.16536698		0.1670462
-2.7983234	0.16556357		0.1670462
-2.798331	0.1658257		0.1670462
-2.7983234	0.16583388		0.1670462
-2.7983158	0.16595675		0.1670462
-2.7983158	0.16547346		0.1670462
-2.7982697	0.16558814		0.1670462
-2.798224	0.16571102		0.1670462
-2.7981782	0.16588303		0.1670462
-2.7981706	0.16574377		0.1670462
-2.7981935	0.1652523		0.1670462
-2.7981782	0.16513762		0.1670462
-2.7981935	0.16617791		0.1670462
-2.798163	0.16599771		0.1670462
-2.7981858	0.16565368		0.1670462
-2.7982163	0.1653424		0.1670462
-2.7982163	0.1657192		0.1670462
-2.7982163	0.16606323		0.1670462
-2.798201	0.16555537		0.1670462
-2.798201	0.16562091		0.1670462
-2.798201	0.16562091		0.1670462
-2.798201	0.1660059		0.1670462
-2.7981782	0.16593218		0.1670462
-2.7981477	0.16557175		0.1670462
-2.798163	0.16596495		0.1670462
-2.7981477	0.16562909		0.1670462
-2.7981172	0.16573559		0.1670462
-2.7981095	0.16602229		0.1670462
-2.7981248	0.16603866		0.1670462
-2.79814	0.16585845		0.1670462
-2.798163	0.16589941		0.1670462
-2.7981935	0.16550623		0.1670462
-2.7981782	0.16605504		0.1670462
-2.7981172	0.16594037		0.1670462
-2.798102	0.16500655		0.1670462
-2.798094	0.16555537		0.1670462
-2.7980864	0.16573559		0.1670462
-2.7980864	0.16521133		0.1670462
-2.7980864	0.16568643		0.1670462
-2.7980483	0.16625164		0.1670462
-2.7980483	0.16647281		0.1670462
-2.7980483	0.1663745		0.1670462
-2.798056	0.16611238		0.1670462
-2.7980864	0.16607143		0.1670462
-2.7981248	0.16566186		0.1670462
-2.7980788	0.16627622		0.1670462
-2.7980788	0.16528507		0.1670462
-2.7980711	0.16503932		0.1670462
-2.7980864	0.16563728		0.1670462
-2.798102	0.16557994		0.1670462
-2.7981095	0.16593218		0.1670462
-2.7981172	0.16630898		0.1670462
-2.7980864	0.16576016		0.1670462
-2.7981324	0.16663663		0.1670462
-2.7981324	0.16654652		0.1670462
-2.7981477	0.16621888		0.1670462
-2.7981324	0.16612877		0.1670462
-2.7981324	0.1663827		0.1670462
-2.798163	0.16555537		0.1670462
-2.7981935	0.16642366		0.1670462
-2.798201	0.16603047		0.1670462
-2.7981858	0.16549803		0.1670462
-2.7981782	0.16559634		0.1670462
-2.7981553	0.16561271		0.1670462
-2.7981477	0.16594855		0.1670462
-2.7981706	0.1662926		0.1670462
-2.7981858	0.16618611		0.1670462
-2.7981782	0.16622706		0.1670462
-2.7981782	0.16672674		0.1670462
-2.7981858	0.1666776		0.1670462
-2.798163	0.1663827		0.1670462
-2.798163	0.1662844		0.1670462
-2.7982163	0.16680045		0.1670462
-2.7981858	0.16648918		0.1670462
-2.7981706	0.16687419		0.1670462
-2.7981095	0.16647281		0.1670462
-2.7980788	0.1662844		0.1670462
-2.7980864	0.16654652		0.1670462
-2.7980483	0.16670217		0.1670462
-2.7980635	0.16626802		0.1670462
-2.7981172	0.16621888		0.1670462
-2.7981553	0.1663745		0.1670462
-2.7982087	0.16634174		0.1670462
-2.7982316	0.16753767		0.16753767
-2.7982469	0.16728374		0.16753767
-2.798224	0.16658749		0.16753767
-2.7981858	0.16702981		0.16753767
-2.7981706	0.16679227		0.16753767
-2.7981553	0.16648918		0.16753767
-2.79814	0.16701344		0.16753767
-2.7981477	0.16701344		0.16753767
-2.798163	0.16630079		0.16753767
-2.798163	0.16678408		0.16753767
-2.7981477	0.16670217		0.16753767
-2.7981248	0.16662844		0.16753767
-2.798102	0.16697247		0.16753767
-2.7981095	0.16684142		0.16753767
-2.7981324	0.16616972		0.16753767
-2.79814	0.16717726		0.16753767
-2.798102	0.1666612		0.16753767
-2.7981324	0.16604686		0.16753767
-2.798102	0.1668578		0.16753767
-2.7981172	0.16645642		0.16753767
-2.7980711	0.16591579		0.16753767
-2.798056	0.16596495		0.16753767
-2.798033	0.16601409		0.16753767
-2.7980864	0.1657192		0.16753767
-2.7980788	0.16577654		0.16753767
-2.7981172	0.16627622		0.16753767
-2.7980864	0.16570282		0.16753767
-2.798102	0.16672674		0.16753767
-2.798094	0.16641547		0.16753767
-2.7980635	0.16545708		0.16753767
-2.798102	0.16579293		0.16753767
-2.7981248	0.1658175		0.16753767
-2.798102	0.16595675		0.16753767
-2.798102	0.16662844		0.16753767
-2.7980711	0.16655472		0.16753767
-2.798056	0.16605504		0.16753767
-2.798056	0.16725917		0.16753767
-2.7980406	0.16671854		0.16753767
-2.7980254	0.1666612		0.16753767
-2.7979949	0.16734108		0.16753767
-2.7980025	0.16682503		0.16753767
-2.7980254	0.16584207		0.16753767
-2.7980406	0.16535878		0.16753767
-2.7980711	0.16574377		0.16753767
-2.798056	0.16576836		0.16753767
-2.798033	0.16686599		0.16753767
-2.7980483	0.16716088		0.16753767
-2.7980177	0.16683322		0.16753767
-2.798033	0.16716088		0.16753767
-2.7980406	0.16696429		0.16753767
-2.797972	0.16654652		0.16753767
-2.7979643	0.16673493		0.16753767
-2.797949	0.16624345		0.16753767
-2.7979414	0.16550623		0.16753767
-2.7979414	0.16658749		0.16753767
-2.7979338	0.1663745		0.16753767
-2.797972	0.16603866		0.16753767
-2.7980177	0.16660386		0.16753767
-2.7980177	0.16622706		0.16753767
-2.7979872	0.16598132		0.16753767
-2.797949	0.16652195		0.16753767
-2.7979567	0.16634174		0.16753767
-2.797972	0.16567005		0.16753767
-2.7979872	0.16599771		0.16753767
-2.7980025	0.16634174		0.16753767
-2.7979796	0.165539		0.16753767
-2.7979949	0.16585845		0.16753767
-2.7980025	0.1660878		0.16753767
-2.7979872	0.16549803		0.16753767
-2.7979643	0.16653834		0.16753767
-2.797949	0.16662844		0.16753767
-2.7978878	0.1662926		0.16753767
-2.7978957	0.1668578		0.16753767
-2.7978957	0.16640727		0.16753767
-2.7978573	0.16599771		0.16753767
-2.797842	0.1663827		0.16753767
-2.7978725	0.16639908		0.16753767
-2.797865	0.16627622		0.16753767
-2.7978497	0.16646461		0.16753767
-2.797865	0.1665711		0.16753767
-2.797865	0.16616972		0.16753767
-2.7978344	0.16632536		0.16753767
-2.7978497	0.16615334		0.16753767
-2.797865	0.1655308		0.16753767
-2.7978497	0.1660059		0.16753767
-2.7978878	0.16627622		0.16753767
-2.7979186	0.16652195		0.16753767
-2.7978957	0.16689056		0.16753767
-2.7978802	0.16646461		0.16753767
-2.7979186	0.16585027		0.16753767
-2.7979338	0.16579293		0.16753767
-2.7979262	0.16583388		0.16753767
-2.7979033	0.16522773		0.16753767
-2.7978802	0.16593218		0.16753767
-2.797865	0.16640727		0.16753767
-2.7978802	0.16623525		0.16753767
-2.7978725	0.16673493		0.16753767
-2.7978573	0.16630898		0.16753767
-2.797842	0.16607143		0.16753767
-2.797842	0.16636632		0.16753767
-2.797842	0.1661943		0.16753767
-2.7978344	0.16598132		0.16753767
-2.7978344	0.1660878		0.16753767
-2.7978191	0.16561271		0.16753767
-2.7978573	0.16570282		0.16753767
-2.7978802	0.16673493		0.16753767
-2.797911	0.16554718		0.16753767
-2.797949	0.16517039		0.16753767
-2.797911	0.16565368		0.16753767
-2.7978957	0.16605504		0.16753767
-2.7979186	0.16627622		0.16753767
-2.7979414	0.1661943		0.16753767
-2.7979414	0.16598952		0.16753767
-2.7979414	0.16603047		0.16753767
-2.7979414	0.16676769		0.16753767
-2.7979414	0.16620249		0.16753767
-2.7979262	0.16616154		0.16753767
-2.797911	0.1663827		0.16753767
-2.7978878	0.16686599		0.16753767
-2.7978497	0.166653		0.16753767
-2.7978191	0.16650558		0.16753767
-2.7977734	0.16680865		0.16753767
-2.7977352	0.1658175		0.16753767
-2.7977352	0.16631716		0.16753767
-2.7977276	0.16655472		0.16753767
-2.7977047	0.16644824		0.16753767
-2.7977428	0.16686599		0.16753767
-2.7977352	0.1666694		0.16753767
-2.7977428	0.16611238		0.16753767
-2.7977505	0.16658749		0.16753767
-2.7977352	0.16657929		0.16753767
-2.797758	0.16612057		0.16753767
-2.79772	0.16678408		0.16753767
-2.7977352	0.16614515		0.16753767
-2.7977428	0.16601409		0.16753767
-2.797781	0.16625164		0.16753767
-2.7978191	0.16588303		0.16753767
-2.797842	0.16556357		0.16753767
-2.7978497	0.16625983		0.16753767
-2.7978268	0.16655472		0.16753767
-2.797842	0.16686599		0.16753767
-2.7978191	0.16634174		0.16753767
-2.7978039	0.16625164		0.16753767
-2.7978344	0.16585027		0.16753767
-2.797842	0.1660878		0.16753767
-2.797865	0.1663745		0.16753767
-2.7978573	0.16606323		0.16753767
-2.7978957	0.1661042		0.16753767
-2.7979414	0.16684142		0.16753767
-2.7979872	0.16611238		0.16753767
-2.7979796	0.16684142		0.16753767
-2.79801	0.16745576		0.16753767
-2.7979872	0.16731651		0.16753767
-2.7979872	0.16772608		0.16772608
-2.79801	0.16735747		0.16772608
-2.7980025	0.16648918		0.16772608
-2.7979872	0.1667595		0.16772608
-2.7979949	0.16721003		0.16772608
-2.797949	0.16679227		0.16772608
-2.7979872	0.16684961		0.16772608
-2.7979796	0.16745576		0.16772608
-2.797972	0.16745576		0.16772608
-2.7979796	0.16681685		0.16772608
-2.797949	0.16678408		0.16772608
-2.797911	0.16691513		0.16772608
-2.7978957	0.1670462		0.16772608
-2.7979033	0.16621888		0.16772608
-2.7978878	0.1667595		0.16772608
-2.7978725	0.16781619		0.16781619
-2.797865	0.16787353		0.16787353
-2.797842	0.16744758		0.16787353
-2.7978497	0.16743119		0.16787353
-2.7978191	0.16689876		0.16787353
-2.7978191	0.1665711		0.16787353
-2.7978039	0.16603866		0.16787353
-2.7977962	0.16668577		0.16787353
-2.7977505	0.16612877		0.16787353
-2.7977505	0.16633356		0.16787353
-2.7977123	0.16656291		0.16787353
-2.7977276	0.16641547		0.16787353
-2.797758	0.16616154		0.16787353
-2.7977352	0.16616154		0.16787353
-2.7977505	0.16603866		0.16787353
-2.7978039	0.16655472		0.16787353
-2.797758	0.16634174		0.16787353
-2.7977428	0.16679227		0.16787353
-2.7977886	0.1672264		0.16787353
-2.7977734	0.16753767		0.16787353
-2.7977657	0.16728374		0.16787353
-2.797758	0.16679227		0.16787353
-2.7977352	0.16716906		0.16787353
-2.7977276	0.16725917		0.16787353
-2.79772	0.16725098		0.16787353
-2.7977505	0.16756226		0.16787353
-2.79772	0.16787353		0.16787353
-2.79772	0.16734928		0.16787353
-2.7977505	0.16720183		0.16787353
-2.797758	0.16698067		0.16787353
-2.797758	0.16669397		0.16787353
-2.7977123	0.16697247		0.16787353
-2.7976894	0.16759501		0.16787353
-2.7977047	0.16715269		0.16787353
-2.797697	0.16726737		0.16787353
-2.7976663	0.16697247		0.16787353
-2.7976894	0.16703801		0.16787353
-2.7976587	0.16744758		0.16787353
-2.7976818	0.16777523		0.16787353
