# FWHM = 0.0037175026, 31623, 33725
# pos	int		env
-2.760351	0.16570726		0.16570726
-2.7604182	0.16586284		0.16586284
-2.7603805	0.16520777		0.16586284
-2.7603586	0.16548619		0.16586284
-2.760337	0.16551894		0.16586284
-2.7603161	0.16507676		0.16586284
-2.7603655	0.16607574		0.16607574
-2.7603722	0.1655435		0.16607574
-2.7603924	0.16459365		0.16607574
-2.7604253	0.16529785		0.16607574
-2.7604442	0.16553532		0.16607574
-2.7604237	0.16497032		0.16607574
-2.7604034	0.16524872		0.16607574
-2.7603965	0.16587104		0.16607574
-2.7604148	0.16483112		0.16607574
-2.7604327	0.16576459		0.16607574
-2.7604258	0.16500308		0.16607574
-2.760419	0.16435619		0.16607574
-2.7603765	0.16507676		0.16607574
-2.7603586	0.16450359		0.16607574
-2.760341	0.16418424		0.16607574
-2.7603586	0.16504401		0.16607574
-2.7602956	0.16445445		0.16607574
-2.7603247	0.16429888		0.16607574
-2.7602637	0.16450359		0.16607574
-2.760248	0.16443807		0.16607574
-2.760244	0.1642743		0.16607574
-2.7602828	0.16481474		0.16607574
-2.7603104	0.16509314		0.16607574
-2.7603161	0.16515864		0.16607574
-2.7603428	0.16537973		0.16607574
-2.7603066	0.16508496		0.16607574
-2.760343	0.16354555		0.16607574
-2.7603686	0.16410236		0.16607574
-2.7603836	0.16383214		0.16607574
-2.7603784	0.16417605		0.16607574
-2.760403	0.1648393		0.16607574
-2.7604072	0.16535518		0.16607574
-2.7604117	0.16497032		0.16607574
-2.760435	0.16557625		0.16607574
-2.7604487	0.16488843		0.16607574
-2.7604432	0.16404504		0.16607574
-2.760447	0.16432343		0.16607574
-2.7604692	0.16440532		0.16607574
-2.7604547	0.1642743		0.16607574
-2.7604764	0.16529785		0.16607574
-2.7604887	0.1649867		0.16607574
-2.76051	0.16369294		0.16607574
-2.7604954	0.16397133		0.16607574
-2.7605073	0.16384032		0.16607574
-2.760493	0.16361105		0.16607574
-2.760479	0.16468373		0.16607574
-2.7604823	0.16500308		0.16607574
-2.760494	0.16467553		0.16607574
-2.7605305	0.16495395		0.16607574
-2.7605083	0.16492938		0.16607574
-2.7605112	0.16501126		0.16607574
-2.7605388	0.16528966		0.16607574
-2.7605495	0.16504401		0.16607574
-2.7605681	0.16503583		0.16607574
-2.7605865	0.16518322		0.16607574
-2.7605808	0.16510133		0.16607574
-2.7606065	0.16474104		0.16607574
-2.760593	0.16501945		0.16607574
-2.7605872	0.164913		0.16607574
-2.7605894	0.1646264		0.16607574
-2.7606144	0.16529785		0.16607574
-2.760561	0.16552712		0.16607574
-2.7605686	0.1649212		0.16607574
-2.7605762	0.16542886		0.16607574
-2.7605686	0.16530603		0.16607574
-2.7605531	0.16480654		0.16607574
-2.760492	0.16524872		0.16607574
-2.7604997	0.1652569		0.16607574
-2.7605302	0.16499488		0.16607574
-2.760622	0.16497032		0.16607574
-2.7605915	0.16496213		0.16607574
-2.7605991	0.16408598		0.16607574
-2.7605839	0.16521597		0.16607574
-2.7605839	0.16509314		0.16607574
-2.7605915	0.16478199		0.16607574
-2.7606068	0.1651996		0.16607574
-2.7605915	0.16472466		0.16607574
-2.7605762	0.16430706		0.16607574
-2.7605686	0.16555169		0.16607574
-2.7605455	0.16531423		0.16607574
-2.7605531	0.16479836		0.16607574
-2.7605839	0.16564175		0.16607574
-2.7605839	0.16563357		0.16607574
-2.7606068	0.16489662		0.16607574
-2.760622	0.16608393		0.16608393
-2.760622	0.16610031		0.16610031
-2.760622	0.16550256		0.16610031
-2.7606525	0.16562538		0.16610031
-2.7606602	0.16550256		0.16610031
-2.7606983	0.16577278		0.16610031
-2.7606754	0.16639508		0.16639508
-2.7607136	0.16580553		0.16639508
-2.7607594	0.16551894		0.16639508
-2.7607136	0.1657564		0.16639508
-2.7606754	0.16571546		0.16639508
-2.7606754	0.16511771		0.16639508
-2.7606678	0.16501126		0.16639508
-2.7606373	0.16521597		0.16639508
-2.7606373	0.16544524		0.16639508
-2.760645	0.16558444		0.16639508
-2.7606602	0.16504401		0.16639508
-2.7606525	0.16502763		0.16639508
-2.760683	0.16571546		0.16639508
