# FWHM = 0.26593322, 31403, 33481
# pos	int		env
-2.759047	0.16451061		0.16451061
-2.7591186	0.1642659		0.16451061
-2.7590997	0.16491027		0.16491027
-2.7591105	0.16480424		0.16491027
-2.7590923	0.16412725		0.16491027
-2.7590744	0.16501631		0.16501631
-2.7591407	0.16464111		0.16501631
-2.7591093	0.16345024		0.16501631
-2.7591057	0.16473898		0.16501631
-2.759102	0.16438825		0.16501631
-2.759138	0.1646819		0.16501631
-2.7591472	0.16538335		0.16538335
-2.759066	0.1653752		0.16538335
-2.759038	0.16427407		0.16538335
-2.7590103	0.16491844		0.16538335
-2.7590206	0.16479608		0.16538335
-2.759006	0.16478793		0.16538335
-2.7590523	0.16476347		0.16538335
-2.7590857	0.16438825		0.16538335
-2.7591417	0.1642659		0.16538335
-2.75915	0.16503263		0.16538335
-2.7591693	0.16491844		0.16538335
-2.7592342	0.16442089		0.16538335
-2.759241	0.16476347		0.16538335
-2.7592478	0.1648858		0.16538335
-2.75921	0.164062		0.16538335
-2.759217	0.16449429		0.16538335
-2.759213	0.16429037		0.16538335
-2.7592196	0.16409461		0.16538335
-2.759258	0.16443719		0.16538335
-2.759285	0.16444536		0.16538335
-2.7592597	0.16482055		0.16538335
-2.7592144	0.16535074		0.16538335
-2.759251	0.16508156		0.16538335
-2.7592874	0.1649429		0.16538335
-2.7592828	0.16504894		0.16538335
-2.7592883	0.1648124		0.16538335
-2.7593036	0.1643964		0.16538335
-2.7593281	0.16479608		0.16538335
-2.7593043	0.1646982		0.16538335
-2.7593	0.16444536		0.16538335
-2.759305	0.16585645		0.16585645
-2.7593193	0.16553017		0.16585645
-2.7593334	0.16486134		0.16585645
-2.7593381	0.16516313		0.16585645
-2.7593336	0.1654323		0.16585645
-2.759329	0.16460848		0.16585645
-2.7593248	0.16548939		0.16585645
-2.7593205	0.1654486		0.16585645
-2.7593164	0.1649429		0.16585645
-2.7593296	0.1653018		0.16585645
-2.7593513	0.16536705		0.16585645
-2.759364	0.16454323		0.16585645
-2.7593257	0.16520391		0.16585645
-2.7593133	0.1655057		0.16585645
-2.759301	0.16447797		0.16585645
-2.759289	0.16522838		0.16585645
-2.759277	0.16509788		0.16585645
-2.7592735	0.16509788		0.16585645
-2.7592459	0.16522838		0.16585645
-2.7592585	0.16541599		0.16585645
-2.7592711	0.16520391		0.16585645
-2.7592363	0.16482055		0.16585645
-2.7592332	0.16461664		0.16585645
-2.759238	0.16440457		0.16585645
-2.759235	0.16492659		0.16585645
-2.7592318	0.16473898		0.16585645
-2.7592165	0.16466558		0.16585645
-2.7592394	0.16408646		0.16585645
-2.7592547	0.16417618		0.16585645
-2.7592776	0.16484502		0.16585645
-2.7593007	0.16582382		0.16585645
-2.7593007	0.16513051		0.16585645
-2.7593083	0.16480424		0.16585645
-2.759316	0.16441272		0.16585645
-2.7593312	0.16520391		0.16585645
-2.7593617	0.16495922		0.16585645
-2.7593465	0.16509788		0.16585645
-2.7593312	0.16570963		0.16585645
-2.7593083	0.16482055		0.16585645
-2.75927	0.16495106		0.16585645
-2.7592318	0.16447797		0.16585645
-2.75927	0.16414356		0.16585645
-2.7592242	0.16446166		0.16585645
-2.7592318	0.16455139		0.16585645
-2.7592318	0.16473083		0.16585645
-2.7592623	0.16455954		0.16585645
-2.759247	0.16442904		0.16585645
-2.7592318	0.16477162		0.16585645
-2.7592623	0.1646982		0.16585645
-2.7592623	0.1654323		0.16585645
-2.759247	0.16566885		0.16585645
-2.7592547	0.16607668		0.16607668
-2.7593007	0.16668026		0.16668026
-2.759316	0.1664274		0.16668026
-2.7592776	0.16634583		0.16668026
-2.75927	0.16623165		0.16668026
-2.7592776	0.16500816		0.16668026
-2.759247	0.16508156		0.16668026
-2.7592547	0.1653181		0.16668026
-2.7592776	0.16480424		0.16668026
-2.7592623	0.16458401		0.16668026
-2.75927	0.16490212		0.16668026
-2.7592852	0.16427407		0.16668026
-2.7592394	0.16355628		0.16668026
-2.7592394	0.16449429		0.16668026
-2.7592394	0.16490212		0.16668026
-2.7592318	0.16535889		0.16668026
-2.7592318	0.16490212		0.16668026
-2.759209	0.16495106		0.16668026
-2.7591937	0.16471452		0.16668026
-2.7592394	0.16447797		0.16668026
-2.759316	0.1653018		0.16668026
-2.759354	0.16548939		0.16668026
-2.7593083	0.16460033		0.16668026
-2.7593083	0.16394779		0.16668026
-2.7593007	0.16389886		0.16668026
-2.7593465	0.16429037		0.16668026
-2.7593617	0.16411093		0.16668026
-2.7593389	0.16454323		0.16668026
-2.7593694	0.16544046		0.16668026
-2.7593465	0.1653018		0.16668026
-2.7593312	0.16491844		0.16668026
-2.7593694	0.16457586		0.16668026
-2.7593846	0.1645677		0.16668026
-2.7594	0.16460848		0.16668026
-2.7594075	0.16491027		0.16668026
-2.7594	0.16526102		0.16668026
-2.759438	0.16514681		0.16668026
-2.7594457	0.16495922		0.16668026
-2.7594762	0.1647553		0.16668026
-2.759438	0.1650571		0.16668026
-2.7594151	0.16484502		0.16668026
-2.7594	0.16491027		0.16668026
-2.7593465	0.16513866		0.16668026
-2.759354	0.16508156		0.16668026
-2.759377	0.16495922		0.16668026
-2.7593694	0.16477162		0.16668026
-2.7593617	0.16489397		0.16668026
-2.7593083	0.16528548		0.16668026
-2.759354	0.16549756		0.16668026
-2.7593617	0.16513866		0.16668026
-2.7593617	0.16459218		0.16668026
-2.759354	0.1643801		0.16668026
-2.7594	0.16508156		0.16668026
-2.7594533	0.1653018		0.16668026
-2.7594686	0.1645677		0.16668026
-2.759499	0.16507341		0.16668026
-2.7594762	0.1656036		0.16668026
-2.759461	0.16570146		0.16668026
-2.7594304	0.16548939		0.16668026
-2.7593846	0.16507341		0.16668026
-2.759354	0.1651713		0.16668026
-2.7593389	0.16540784		0.16668026
-2.7593236	0.16487765		0.16668026
-2.759293	0.16447797		0.16668026
-2.7592852	0.16530995		0.16668026
-2.7592547	0.16572593		0.16668026
-2.7592776	0.16613376		0.16668026
-2.7592623	0.16619086		0.16668026
-2.759247	0.16597064		0.16668026
-2.7592165	0.16486134		0.16668026
-2.7591631	0.16503263		0.16668026
-2.7591631	0.1647553		0.16668026
-2.7591708	0.16466558		0.16668026
-2.759186	0.16542414		0.16668026
-2.7591403	0.16520391		0.16668026
-2.7591174	0.16534258		0.16668026
-2.759148	0.1654323		0.16668026
-2.759148	0.16534258		0.16668026
-2.759148	0.16499184		0.16668026
-2.7591174	0.16528548		0.16668026
-2.7591326	0.16495922		0.16668026
-2.7591403	0.16472268		0.16668026
-2.7591403	0.16473083		0.16668026
-2.759125	0.16464926		0.16668026
-2.7590868	0.16503263		0.16668026
-2.7590714	0.16575857		0.16668026
-2.7590485	0.16606851		0.16668026
-2.759056	0.1656199		0.16668026
-2.7590945	0.16601957		0.16668026
-2.7590868	0.16576672		0.16668026
-2.759102	0.16606851		0.16668026
-2.7590637	0.1662969		0.16668026
-2.7590103	0.16564438		0.16668026
-2.7590103	0.16486134		0.16668026
-2.759056	0.16533442		0.16668026
-2.7590792	0.16504894		0.16668026
-2.7590792	0.16551387		0.16668026
-2.759056	0.16569331		0.16668026
-2.759056	0.16553834		0.16668026
-2.7590714	0.16506526		0.16668026
-2.7590868	0.16508973		0.16668026
-2.759056	0.16460848		0.16668026
-2.7590637	0.16446166		0.16668026
-2.759102	0.1651713		0.16668026
-2.7590714	0.16584013		0.16668026
-2.7590868	0.1651713		0.16668026
-2.7590792	0.16528548		0.16668026
-2.759102	0.16498369		0.16668026
-2.7590714	0.16420065		0.16668026
-2.7590332	0.16467373		0.16668026
-2.7590332	0.16497552		0.16668026
-2.7590332	0.16447797		0.16668026
-2.7590332	0.16478793		0.16668026
-2.759056	0.16470636		0.16668026
-2.7590256	0.16427407		0.16668026
-2.7590027	0.16509788		0.16668026
-2.758957	0.16548939		0.16668026
-2.7589798	0.16533442		0.16668026
-2.7590103	0.16533442		0.16668026
-2.7590103	0.16526102		0.16668026
-2.7590714	0.16512235		0.16668026
-2.7590792	0.1651876		0.16668026
-2.7590945	0.16471452		0.16668026
-2.7590637	0.16480424		0.16668026
-2.7590945	0.16526102		0.16668026
-2.759125	0.16510604		0.16668026
