# FWHM = 0.26827046, 31839, 33924
# pos	int		env
-2.7941926	0.16438808		0.16438808
-2.7942553	0.16485696		0.16485696
-2.794272	0.1646513		0.16485696
-2.7942882	0.16447856		0.16485696
-2.7942753	0.16527648		0.16527648
-2.794305	0.16492276		0.16527648
-2.7943063	0.16463485		0.16527648
-2.7942662	0.16507906		0.16527648
-2.7942948	0.16378757		0.16527648
-2.7942426	0.16348322		0.16527648
-2.7942183	0.16405903		0.16527648
-2.7941813	0.16433871		0.16527648
-2.794171	0.16368885		0.16527648
-2.7941866	0.16424		0.16527648
-2.7941766	0.1637629		0.16527648
-2.7941668	0.16396032		0.16527648
-2.7942307	0.16416597		0.16527648
-2.7942445	0.16437161		0.16527648
-2.7942822	0.16380402		0.16527648
-2.794319	0.16493921		0.16527648
-2.794308	0.16475824		0.16527648
-2.7943435	0.16412483		0.16527648
-2.7943554	0.16463485		0.16527648
-2.7943785	0.16488986		0.16527648
-2.7943785	0.16478291		0.16527648
-2.7943456	0.1648405		0.16527648
-2.7943678	0.16516954		0.16527648
-2.7944005	0.16500501		0.16527648
-2.7943897	0.16527648		0.16527648
-2.794358	0.16456081		0.16527648
-2.7943163	0.16342562		0.16527648
-2.794338	0.16423178		0.16527648
-2.7943077	0.16422355		0.16527648
-2.7942982	0.16396032		0.16527648
-2.7942991	0.16499679		0.16527648
-2.7943	0.16477469		0.16527648
-2.7942715	0.16433048		0.16527648
-2.7942529	0.16480759		0.16527648
-2.794293	0.16535051		0.16535051
-2.7943323	0.16493921		0.16535051
-2.7943423	0.16554794		0.16554794
-2.7943616	0.16502146		0.16554794
-2.7943711	0.16473356		0.16554794
-2.7943435	0.16467598		0.16554794
-2.7943714	0.16414952		0.16554794
-2.7943354	0.16409193		0.16554794
-2.794309	0.16507083		0.16554794
-2.7943006	0.16514486		0.16554794
-2.7943544	0.1648734		0.16554794
-2.7943547	0.16513664		0.16554794
-2.7943463	0.16496389		0.16554794
-2.794338	0.16467598		0.16554794
-2.7943556	0.16558084		0.16558084
-2.794322	0.16600037		0.16600037
-2.7943308	0.1650626		0.16600037
-2.7943397	0.16522712		0.16600037
-2.7943237	0.16453613		0.16600037
-2.7943242	0.16475824		0.16600037
-2.7943327	0.16524357		0.16600037
-2.7943494	0.16441275		0.16600037
-2.7943418	0.16433048		0.16600037
-2.79435	0.16523534		0.16600037
-2.794374	0.16521066		0.16600037
-2.794413	0.16499679		0.16600037
-2.7944129	0.16463485		0.16600037
-2.794405	0.16507083		0.16600037
-2.7943897	0.16519421		0.16600037
-2.7943897	0.16531761		0.16600037
-2.7944431	0.1656631		0.16600037
-2.7944431	0.16455258		0.16600037
